street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
SE HENRY ST,24,1.634,18,32,7.0,1,0.028
SE CARUTHERS ST,20,1.629,28,36,9.0,0,0.0
N RUSSET ST,19,1.626,20,34,8.0,0,0.0
SE 78TH AVE,17,1.621,22,36,9.0,0,0.0
SE 21ST AVE,21,1.619,12,32,7.0,1,0.125
SE ANKENY ST,17,1.607,12,37,9.5,2,0.079
SE 54TH AVE,20,1.602,26,36,9.0,0,0.0
SE 41ST AVE,26,1.596,13,40,11.0,2,0.094
SE BYBEE BLVD,20,1.593,18,28,5.0,1,0.077
SE COOPER ST,19,1.592,16,32,7.0,1,0.093
NE 70TH AVE,23,1.587,24,40,11.0,0,0.0
SE 28TH AVE,23,1.586,25,36,9.0,0,0.0
NE 24TH AVE,22,1.586,24,36,9.0,0,0.0
N BURRAGE AVE,22,1.585,20,36,9.0,0,0.0
NE 34TH AVE,18,1.585,12,36,9.0,1,0.031
NE 108TH AVE,24,1.583,20,38,10.0,0,0.0
NE HOLLADAY ST,23,1.568,12,32,7.0,2,0.112
NE SACRAMENTO ST,15,1.565,22,36,9.0,0,0.0
SE PARDEE ST,19,1.555,20,32,7.0,0,0.0
SE HARNEY ST,21,1.553,22,36,9.0,0,0.0
NE 68TH AVE,18,1.549,24,32,7.0,0,0.0
SE 141ST AVE,19,1.541,20,36,9.0,0,0.0
SE HENDERSON ST,13,1.54,10,32,7.0,1,0.09
NE 59TH AVE,17,1.511,24,34,8.0,0,0.0
N HAIGHT AVE,17,1.51,24,41,11.5,0,0.0
SE 40TH AVE,21,1.499,24,32,7.0,0,0.0
SE 27TH AVE,23,1.498,24,30,6.0,0,0.0
NE 6TH AVE,23,1.497,30,54,18.0,0,0.0
NE 35TH PL,17,1.484,10,28,5.0,2,0.078
SE 94TH AVE,10,1.482,20,32,7.0,0,0.0
NE 81ST AVE,14,1.468,24,40,11.0,0,0.0
SE RURAL ST,16,1.467,18,40,11.0,2,0.251
SE 83RD AVE,14,1.466,20,32,7.0,0,0.0
N DELAWARE AVE,24,1.465,23,44,13.0,0,0.0
NE 64TH AVE,17,1.461,22,36,9.0,0,0.0
NE RUSSELL ST,14,1.46,28,44,13.0,0,0.0
SE LAFAYETTE ST,21,1.457,24,36,9.0,0,0.0
NE 71ST AVE,20,1.445,18,36,9.0,1,0.085
N FARRAGUT ST,14,1.445,16,30,6.0,2,0.183
N WINCHELL ST,14,1.444,24,36,9.0,0,0.0
SE GLADSTONE ST,16,1.441,12,36,9.0,2,0.083
SE MALL ST,18,1.441,18,36,9.0,1,0.065
NE 27TH AVE,19,1.431,24,30,6.0,0,0.0
SW WESTWOOD DR,10,1.426,18,20,1.0,7,1.046
SE OAK ST,18,1.421,25,36,9.0,0,0.0
SE 9TH AVE,23,1.415,28,36,9.0,0,0.0
NE 77TH AVE,15,1.415,24,30,6.0,0,0.0
NE ROSELAWN ST,14,1.412,24,32,7.0,0,0.0
SE 56TH AVE,16,1.408,12,28,5.0,2,0.112
SW 53RD AVE,16,1.407,14,32,7.0,5,0.64
SE 55TH AVE,18,1.407,12,36,9.0,1,0.073
NE EUGENE ST,13,1.403,20,36,9.0,0,0.0
N MISSISSIPPI AVE,21,1.396,19,36,9.0,0,0.0
SE WASHINGTON ST,24,1.394,24,36,9.0,0,0.0
SE 13TH AVE,24,1.39,28,36,9.0,0,0.0
SE IVON ST,23,1.389,12,36,9.0,4,0.193
NE 74TH AVE,13,1.387,24,32,7.0,0,0.0
SW 37TH AVE,18,1.384,12,34,8.0,4,0.164
SW 50TH AVE,19,1.376,20,32,7.0,0,0.0
N HOLMAN ST,19,1.371,16,36,9.0,3,0.138
SE 53RD AVE,15,1.366,24,30,6.0,0,0.0
NE 48TH AVE,15,1.363,18,42,12.0,1,0.036
NE GRAND AVE,17,1.362,20,36,9.0,0,0.0
NE 58TH AVE,16,1.362,24,36,9.0,0,0.0
